id	y	x	mean_alpha
88	47.4	0.683333	0.000000
108	48.5167	-4.06667	1.004051
139	48.5167	-4.06667	1.004051
159	47.35	3.93333	1.004961
265	44.65	-1.16667	0.000000
350	46.6667	4.11667	1.004961
351	46.6667	4.11667	1.004961
991	55.3833	14.05	1.004804
992	55.3833	14.05	1.004804
997	55.3833	14.05	1.004804
1002	55.3833	14.05	1.004804
1006	55.3833	14.05	1.004804
1061	55.7167	14.1333	1.004804
1062	55.7167	14.1333	1.004804
1063	55.7167	14.1333	1.004804
1066	55.7167	14.1333	1.004804
1070	55.7167	14.1333	1.004804
4779	50.4	-4.9	1.004051
4807	50.4	-4.9	1.004051
4826	50.4	-4.9	1.004051
4840	50.4	-4.9	1.004051
4857	50.3	-4.9	1.004051
4884	50.3	-4.9	1.004051
4900	50.3	-4.8	1.004051
4939	50.4	-4.7	1.004051
4958	50.5	-4.5	1.004051
5023	51.3	0.5	1.004330
5104	51.3	0.5	1.004330
5151	52.2	-1.7	1.005712
5165	51.3	0.4	1.004330
5210	51.2	0.3	1.004330
5236	51.2	0.4	1.004330
5249	51.2	0.3	1.004330
5253	51.1	0.6	1.004330
5276	51.3	1.1	1.004330
5279	51.3	1.1	1.004330
5349	51.1	0.4	1.004330
5353	54.5	-3	1.005253
5395	54.4	-3	1.005253
5486	54.6	-3.3	1.005253
5577	54.7	-3.4	1.005253
5644	54.4	-2.9	1.005253
5651	54.4	-2.9	1.005253
5717	54.6	-3.2	1.005253
5718	57	-3.4	0.000000
5720	53.3	-1.6	1.005712
5726	51.3	1.1	1.004330
5741	56.6	-4.1	1.005500
5748	56	-4.4	1.005500
5757	54.6	-2.3	1.005253
5768	54.1	-1.5	1.005253
5772	54.1	-2.3	1.005253
5776	52.9	-1.3	1.005712
5779	51	-3.1	1.005712
5784	56.4	-5.2	1.005500
5798	53.1	-3.3	1.005712
5800	57.4	-5.5	0.000000
5811	52.9	-3.1	1.005712
5822	56.7333	-5.98333	1.005500
5836	55.86	13.51	1.004804
5865	55.76	14.12	1.004804
5867	55.76	14.12	1.004804
6019	56.06	14.29	1.004804
6020	56.06	14.29	1.004804
6021	56.06	14.29	1.004804
6022	56.06	14.29	1.004804
6023	55.7509	13.3712	1.004804
6024	55.7509	13.3712	1.004804
6034	56.1	13.74	1.004804
6035	56.1	13.74	1.004804
6036	56.1	13.74	1.004804
6038	56.1	13.74	1.004804
6039	56.1	13.74	1.004804
6040	55.66	13.4	1.004804
6041	56.0328	14.775	1.004804
6042	56.09	13.9	1.004804
6076	55.6942	13.4504	1.004804
6077	55.6942	13.4504	1.004804
6085	55.7097	13.2145	1.004804
6086	58.9	11.2	0.000000
6090	55.6525	13.2197	1.004804
6091	55.6525	13.215	1.004804
6092	55.6514	13.2233	1.004804
6094	55.6494	13.2147	1.004804
6095	55.6486	13.2161	1.004804
6096	55.6472	13.2225	1.004804
6097	55.6481	13.2264	1.004804
6098	55.6561	13.2178	1.004804
6099	55.6575	13.2386	1.004804
6100	55.6	13.2	1.004804
6101	55.6	13.2	1.004804
6102	55.6	13.2	1.004804
6104	55.7	13.2	1.004804
6105	55.7967	13.1211	1.004804
6106	55.7931	13.1186	1.004804
6107	55.7942	13.1222	1.004804
6108	55.7989	13.1206	1.004804
6109	55.7936	13.1233	1.004804
6111	55.7989	13.1219	1.004804
6112	55.7967	13.1044	1.004804
6113	55.8078	13.1028	1.004804
6114	55.8097	13.1342	1.004804
6115	55.8	13.1367	1.004804
6118	55.7	13.2	1.004804
6119	55.7	13.2	1.004804
6122	55.8364	13.3075	1.004804
6123	55.8369	13.3033	1.004804
